dataset_source,hdf5_filename,sim,volume,is_nan,half_half_1_train,half_half_1_valid,half_half_2_train,half_half_2_valid,fold1_train,fold1_valid,fold2_train,fold2_valid,fold3_train,fold3_valid,fold4_train,fold4_valid
fullwave_abdominal_wall,fullwave_abdominal_wall_176_reg.hdf5,176,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
fullwave_abdominal_wall,fullwave_abdominal_wall_177_reg.hdf5,177,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
fullwave_abdominal_wall,fullwave_abdominal_wall_178_reg.hdf5,178,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
fullwave_abdominal_wall,fullwave_abdominal_wall_179_reg.hdf5,179,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
fullwave_abdominal_wall,fullwave_abdominal_wall_180_reg.hdf5,180,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
fullwave_abdominal_wall,fullwave_abdominal_wall_181_reg.hdf5,181,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
fullwave_abdominal_wall,fullwave_abdominal_wall_182_reg.hdf5,182,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
fullwave_abdominal_wall,fullwave_abdominal_wall_183_reg.hdf5,183,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
fullwave_abdominal_wall,fullwave_abdominal_wall_184_reg.hdf5,184,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
fullwave_abdominal_wall,fullwave_abdominal_wall_185_reg.hdf5,185,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
fullwave_abdominal_wall,fullwave_abdominal_wall_186_reg.hdf5,186,vishuman_abdwall_153_h,False,False,True,True,False,False,True,False,True,True,False,True,False
